CountryCountry+B13:D29,Year,GDP per Capita
CHN,1995,609.6566792 
CHN,1996,709.4137551 
CHN,1997,781.7441643 
CHN,1998,828.5804793 
CHN,1999,873.2870617 
CHN,2000,959.3724836 
CHN,2001,1053.1082430 
CHN,2002,1148.5082900 
CHN,2003,1288.6432520 
CHN,2004,1508.6680980 
CHN,2005,1753.4178290 
CHN,2006,2099.2294350 
CHN,2007,2695.3659170 
CHN,2008,3471.2480540 
CHN,2009,3838.4339720 
CHN,2010,4560.5125860 
CHN,2011,5633.7957170 
CHN,2012,6337.8833230 
CHN,2013,7077.7707650 
CHN,2014,7683.5026130 
CHN,2015,8069.2130240 
CHN,2016,8117.2674650 
CHN,2017,8826.9940960 
IDN,1995,1026.2704926 
IDN,1996,1137.3327243 
IDN,1997,1063.7122656 
IDN,1998,463.9685753 
IDN,1999,671.1070220 
IDN,2000,780.0920744 
IDN,2001,747.9817455 
IDN,2002,899.5556857 
IDN,2003,1064.5094471 
IDN,2004,1148.5690962 
IDN,2005,1260.9288337 
IDN,2006,1586.2050396 
IDN,2007,1855.0939152 
IDN,2008,2160.5276051 
IDN,2009,2254.4455920 
IDN,2010,3113.4806345 
IDN,2011,3634.2768045 
IDN,2012,3687.9539965 
IDN,2013,3620.6639811 
IDN,2014,3491.5958869 
IDN,2015,3334.5490748 
IDN,2016,3570.2846148 
IDN,2017,3846.8643233 
KOR,1995,12332.9793518 
KOR,1996,13137.9080702 
KOR,1997,12131.8747043 
KOR,1998,8085.3235284 
KOR,1999,10409.3268882 
KOR,2000,11947.5791282 
KOR,2001,11252.9075541 
KOR,2002,12782.5255347 
KOR,2003,14209.3885193 
KOR,2004,15907.6658340 
KOR,2005,18639.5222054 
KOR,2006,20888.3801505 
KOR,2007,23060.7078837 
KOR,2008,20430.6394601 
KOR,2009,18291.9195979 
KOR,2010,22086.9529193 
KOR,2011,24079.7885239 
KOR,2012,24358.7821758 
KOR,2013,25890.0186699 
KOR,2014,27811.3663838 
KOR,2015,27105.0762263 
KOR,2016,27608.2474287 
KOR,2017,29742.8388613 
MYS,1995,4328.0000177 
MYS,1996,4797.2913710 
MYS,1997,4637.3204810 
MYS,1998,3263.5209830 
MYS,1999,3493.4652294 
MYS,2000,4045.1704714 
MYS,2001,3915.1150460 
MYS,2002,4167.3643865 
MYS,2003,4463.6758934 
MYS,2004,4955.4777427 
MYS,2005,5593.8229954 
MYS,2006,6222.9829548 
MYS,2007,7269.1711404 
MYS,2008,8513.6295414 
MYS,2009,7326.7444349 
MYS,2010,9071.3569867 
MYS,2011,10405.1206191 
MYS,2012,10779.5075073 
MYS,2013,10882.2891042 
MYS,2014,11183.7294321 
MYS,2015,9648.5534552 
MYS,2016,9508.2377496 
MYS,2017,9944.9043002 
THA,1995,2845.4103138 
THA,1996,3042.9039892 
THA,1997,2467.4928955 
THA,1998,1845.4662380 
THA,1999,2032.9921465 
THA,2000,2007.5648264 
THA,2001,1893.1453766 
THA,2002,2096.0546174 
THA,2003,2358.9306293 
THA,2004,2659.8391085 
THA,2005,2893.6513556 
THA,2006,3368.9525761 
THA,2007,3972.2064754 
THA,2008,4378.6874060 
THA,2009,4212.0549016 
THA,2010,5075.3021764 
THA,2011,5491.1599814 
THA,2012,5859.8876441 
THA,2013,6168.3948812 
THA,2014,5953.7939278 
THA,2015,5846.3946081 
THA,2016,5979.2935463 
THA,2017,6593.8198059 
